disease,diet,workout
Hepatitis C,"Choose balanced meals with vegetables, fruits, whole grains and adequate protein; avoid alcohol and maintain healthy hydration.",Walking and moderate activity can be appropriate when tolerated; adjust intensity according to fatigue and medical guidance.
Hepatitis D,Maintain balanced nutrition and adequate hydration; avoid alcohol and follow individualized dietary advice for liver health.,Gentle walking and light activity may be appropriate when stable; avoid strenuous activity during active illness.
Hepatitis E,"Stay hydrated and consume balanced, easy-to-tolerate meals; avoid alcohol and follow professional dietary advice.",Prioritize rest during acute illness; gradually return to light activity after recovery.
Hypertension,"Prefer vegetables, fruits, whole grains, legumes and lower-sodium foods; limit highly processed foods and excessive sodium.","Regular moderate aerobic activity such as brisk walking, cycling or swimming is generally beneficial when medically appropriate."
Hyperthyroidism,Maintain a balanced nutrient-dense diet with adequate calories and protein; individualized nutritional advice may be needed depending on severity.,"Use gentle-to-moderate activity according to symptoms; avoid strenuous exercise when experiencing significant palpitations, weakness or heat intolerance."
Hypoglycemia,Eat regular balanced meals and snacks when appropriate; rapidly absorbable carbohydrate may be needed for an acute low-blood-glucose episode according to an individual's treatment plan.,Exercise should be planned around glucose monitoring and treatment needs; avoid exercise when blood glucose is dangerously low.
Hypothyroidism,"Maintain a balanced diet containing adequate protein, vegetables, fruits, whole grains and appropriate sources of micronutrients.","Walking, cycling, resistance training and flexibility exercises can be gradually introduced according to energy levels and fitness."
Impetigo,Maintain a balanced diet and adequate hydration; choose nutritious foods that support general health.,Light activity may be appropriate; avoid contact activities that could spread infection and keep affected areas clean.
Jaundice,"Stay hydrated and eat balanced, easy-to-tolerate meals; dietary needs should be individualized according to the underlying cause.",Rest during significant fatigue or acute illness; resume gentle activity gradually as recovery occurs.
Malaria,"Maintain hydration and consume nutritious, easy-to-tolerate meals; follow medical treatment and professional nutrition advice.",Rest during fever and acute illness; gradually return to light activity after recovery.
Migraine,Maintain regular meals and hydration; identify and avoid personal food triggers and excessive caffeine when relevant.,"Gentle walking, stretching and moderate aerobic activity may help some people; avoid intense activity during an acute attack."
Osteoarthristis,"Choose a balanced diet rich in vegetables, fruits, whole grains and adequate protein while maintaining a healthy body weight.","Low-impact walking, swimming, cycling, strengthening and mobility exercises are generally preferred."
Paralysis (brain hemorrhage),Follow individualized nutrition and swallowing guidance; emphasize balanced nutrition and adequate hydration as advised by the healthcare team.,Exercise should be rehabilitation-based and supervised by appropriate professionals; avoid unsupervised strenuous activity.
Peptic ulcer diseae,Eat balanced meals and avoid foods or drinks that clearly worsen symptoms; limit alcohol and avoid unnecessary irritants according to professional advice.,Gentle walking may be suitable when stable; avoid strenuous activity during significant pain or acute symptoms.
Pneumonia,"Stay hydrated and consume nutritious, easy-to-tolerate meals with adequate protein and calories during recovery.",Rest during acute illness and gradually resume light activity as breathing and energy improve; avoid strenuous exercise until recovered.
Psoriasis,"Maintain a balanced diet rich in vegetables, fruits, whole grains and healthy protein sources; limit excessive alcohol and highly processed foods.","Regular moderate activity such as walking, cycling or swimming can support overall health; adapt activity to joint or skin symptoms."
Tuberculosis,"Maintain adequate calories and protein with balanced meals, fruits, vegetables and sufficient hydration; follow professional nutrition advice during treatment.",Rest during active illness and gradually increase light activity as strength and respiratory status improve under medical guidance.
Typhoid,Stay hydrated and choose easy-to-digest nutritious foods; gradually return to a normal balanced diet as recovery progresses.,Rest during fever and acute illness; resume light activity gradually after recovery.
Urinary tract infection,Drink adequate fluids unless medically restricted and maintain a balanced diet; avoid personal bladder irritants if they worsen symptoms.,Light walking and normal daily activity may be suitable when symptoms are mild; rest if fever or significant illness is present.
Varicose veins,"Maintain a balanced diet rich in vegetables, fruits, whole grains and adequate hydration; maintain a healthy body weight.","Walking, cycling, swimming and calf-strengthening movements can support circulation; avoid prolonged immobility."
hepatitis A,"Stay hydrated and consume balanced, nutritious meals; avoid alcohol and follow professional advice if appetite or liver function is affected.",Rest during acute illness and gradually return to light activity as energy and symptoms improve.
